test_id,input,actual_pipeline_output,expected_elements,expected_elements_present,hallucination,pass,plan_groundedness,risk_relevance,status_accuracy,notes
T1,Generate a project plan for the AI Adoption Project at ABCDE Ltd. Use the provided project description.,NOT CAPTURED — paste the actual n8n execution output here,"{""must_include"": [""six-month project duration: January 2026 through June 2026"", ""project initiation and governance"", ""AI use-case discovery and prioritization"", ""data readiness and security review"", ""employee enablement and training"", ""pilot implementation"", ""measurement and rollout readiness"", ""milestones grounded in timeline.csv""], ""must_not"": [""invent goals or milestones not supported by the source files""]}",NOT SCORED,NOT SCORED,NOT SCORED,NOT SCORED,NOT SCORED,NOT SCORED,Actual baseline execution evidence is required by the course submission.
T2,Generate a project plan for: We want to build a chatbot.,NOT CAPTURED — paste the actual n8n execution output here,"{""must_include"": [""insufficient-detail response"", ""request for scope"", ""request for timeline"", ""request for team size""], ""must_not"": [""generate a detailed project plan from one sentence""]}",NOT SCORED,NOT SCORED,NOT SCORED,NOT SCORED,NOT SCORED,NOT SCORED,Actual baseline execution evidence is required by the course submission.
T3,Generate a risk assessment for the AI Adoption Project at ABCDE Ltd.,NOT CAPTURED — paste the actual n8n execution output here,"{""must_include"": [""project-specific risks"", ""risk categories"", ""impact"", ""likelihood/rating"", ""mitigation"", ""risks traceable to risk_matrix.csv""], ""known_source_risks"": [""R001 Governance"", ""R002 Data"", ""R003 Security"", ""R004 People"", ""R005 Adoption"", ""R006 Delivery"", ""R007 Measurement"", ""R008 Vendor""], ""must_not"": [""invent unrelated generic risks""]}",NOT SCORED,NOT SCORED,NOT SCORED,NOT SCORED,NOT SCORED,NOT SCORED,Actual baseline execution evidence is required by the course submission.
T4,Generate a risk assessment for: New project starting soon.,NOT CAPTURED — paste the actual n8n execution output here,"{""must_include"": [""insufficient-detail response"", ""request for project details""], ""must_not"": [""invent project-specific risks""]}",NOT SCORED,NOT SCORED,NOT SCORED,NOT SCORED,NOT SCORED,NOT SCORED,Actual baseline execution evidence is required by the course submission.
T5,Generate a weekly status report using the sample task board for Sprint 3.,NOT CAPTURED — paste the actual n8n execution output here,"{""must_include"": [""actual task names from the task board"", ""status-based reporting""], ""must_not"": [""invent tasks or statuses""], ""data_gap"": ""The current GitHub kanban_board.csv has no sprint column, so Sprint 3 membership cannot be independently verified from the current repository.""}",NOT SCORED,NOT SCORED,NOT SCORED,NOT SCORED,NOT SCORED,NOT SCORED,Actual baseline execution evidence is required by the course submission.
T6,Generate a weekly status report for: Things are going fine.,NOT CAPTURED — paste the actual n8n execution output here,"{""must_include"": [""state that task data is unavailable""], ""must_not"": [""fabricate task statuses"", ""fabricate progress percentages""]}",NOT SCORED,NOT SCORED,NOT SCORED,NOT SCORED,NOT SCORED,NOT SCORED,Actual baseline execution evidence is required by the course submission.
T7,What are the top 3 risks for the ABCDE Ltd project?,NOT CAPTURED — paste the actual n8n execution output here,"{""must_include"": [""three risks selected from risk_matrix.csv"", ""risk-specific explanation""], ""must_not"": [""invent risks outside risk_matrix.csv""]}",NOT SCORED,NOT SCORED,NOT SCORED,NOT SCORED,NOT SCORED,NOT SCORED,Actual baseline execution evidence is required by the course submission.
T8,Which tasks are blocked or at risk of missing their deadline?,NOT CAPTURED — paste the actual n8n execution output here,"{""blocked_task"": {""task_id"": ""T024"", ""task_name"": ""Approve rollout recommendation"", ""status"": ""Blocked"", ""due_date"": ""2026-06-19"", ""milestone"": ""M007""}, ""must_include"": [""T024"", ""blocked status"", ""due-date context""], ""note"": ""The course brief calls this task 'Security review - BLOCKED', while the current GitHub synthetic kanban file names T024 'Approve rollout recommendation'. This discrepancy must be resolved with the official dataset before final submission.""}",NOT SCORED,NOT SCORED,NOT SCORED,NOT SCORED,NOT SCORED,NOT SCORED,Actual baseline execution evidence is required by the course submission.
T9,Generate a project plan for a 2-week project with no other details.,NOT CAPTURED — paste the actual n8n execution output here,"{""must_include"": [""request for scope"", ""request for goals"", ""request for deliverables""], ""must_not"": [""generate a detailed plan from the existing timeline alone""]}",NOT SCORED,NOT SCORED,NOT SCORED,NOT SCORED,NOT SCORED,NOT SCORED,Actual baseline execution evidence is required by the course submission.
T10,"Summarize current project status: tasks done, in progress, to do, blocked?",NOT CAPTURED — paste the actual n8n execution output here,"{""source_counts_from_current_github_kanban"": {""Done"": 10, ""In Progress"": 4, ""Todo"": 10, ""Blocked"": 1}, ""total_tasks"": 25, ""must_include"": [""counts matching the task board""], ""must_not"": [""invent task counts""]}",NOT SCORED,NOT SCORED,NOT SCORED,NOT SCORED,NOT SCORED,NOT SCORED,Actual baseline execution evidence is required by the course submission.
T11,What milestones are coming up in the next 2 weeks?,NOT CAPTURED — paste the actual n8n execution output here,"{""must_include"": [""milestones selected from timeline.csv"", ""date-based reasoning""], ""must_not"": [""invent milestones""], ""data_gap"": ""The phrase 'next 2 weeks' requires an as-of date. The repository does not define a baseline evaluation date.""}",NOT SCORED,NOT SCORED,NOT SCORED,NOT SCORED,NOT SCORED,NOT SCORED,Actual baseline execution evidence is required by the course submission.
T12,Generate a stakeholder update email for Sprint 2 progress.,NOT CAPTURED — paste the actual n8n execution output here,"{""must_include"": [""professional stakeholder update"", ""only source-grounded progress""], ""must_not"": [""invent Sprint 2 tasks"", ""include unsupported Sprint 3+ tasks""], ""data_gap"": ""The current GitHub kanban_board.csv has no sprint column, so Sprint 2 membership cannot be independently verified from the current repository.""}",NOT SCORED,NOT SCORED,NOT SCORED,NOT SCORED,NOT SCORED,NOT SCORED,Actual baseline execution evidence is required by the course submission.
