task_id,task_name,workstream,owner,status,start_date,due_date,milestone_id
T001,Draft project charter,Project Initiation,Project Manager,Done,05-01-2026,07-01-2026,M001
T002,Confirm project governance roles,Project Initiation,Project Manager,Done,05-01-2026,09-01-2026,M001
T003,Create AI governance checklist,Project Initiation,Governance Lead,Done,06-01-2026,09-01-2026,M001
T004,Collect AI use-case ideas,AI Use-Case Discovery,Business Analyst,Done,12-01-2026,23-01-2026,M002
T005,Interview department stakeholders,AI Use-Case Discovery,Business Analyst,Done,12-01-2026,30-01-2026,M002
T006,Score candidate use cases,AI Use-Case Discovery,Product Lead,Done,26-01-2026,03-02-2026,M002
T007,Approve prioritized use cases,AI Use-Case Discovery,Steering Committee,Done,04-02-2026,06-02-2026,M002
T008,Inventory pilot data sources,Data Readiness & Security,Data Lead,Done,09-02-2026,20-02-2026,M003
T009,Assess data quality,Data Readiness & Security,Data Analyst,In Progress,16-02-2026,27-02-2026,M003
T010,Complete security review,Data Readiness & Security,Security Lead,In Progress,23-02-2026,06-03-2026,M003
T011,Document approved AI tools,Data Readiness & Security,Technology Lead,Done,23-02-2026,06-03-2026,M003
T012,Define training curriculum,Employee Enablement,Training Lead,In Progress,09-03-2026,20-03-2026,M004
T013,Prepare training materials,Employee Enablement,Training Lead,In Progress,16-03-2026,27-03-2026,M004
T014,Schedule pilot-team training,Employee Enablement,Change Lead,Todo,23-03-2026,27-03-2026,M004
T015,Publish AI usage guidelines,Employee Enablement,Governance Lead,Done,16-03-2026,27-03-2026,M004
T016,Configure pilot environments,Pilot Implementation,Technology Lead,Todo,30-03-2026,03-04-2026,M005
T017,Complete pilot access approvals,Pilot Implementation,Security Lead,Todo,30-03-2026,03-04-2026,M005
T018,Run pilot team training,Pilot Implementation,Training Lead,Todo,30-03-2026,03-04-2026,M005
T019,Launch approved AI pilots,Pilot Implementation,Project Manager,Todo,06-04-2026,10-04-2026,M005
T020,Collect pilot usage data,Pilot Implementation,Analytics Lead,Todo,13-04-2026,15-05-2026,M006
T021,Collect user feedback,Pilot Implementation,Change Lead,Todo,20-04-2026,15-05-2026,M006
T022,Evaluate pilot outcomes,Pilot Implementation,Analytics Lead,Todo,18-05-2026,29-05-2026,M006
T023,Prepare rollout recommendation,Rollout Readiness,Project Manager,Todo,01-06-2026,12-06-2026,M007
T024,Approve rollout recommendation,Rollout Readiness,Steering Committee,Blocked,15-06-2026,19-06-2026,M007
T025,Complete project closeout and lessons learned,Project Closeout,Project Manager,Todo,22-06-2026,30-06-2026,M008
